Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E02,,EVA1,0.324029624462128,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,6.48059272766113,,,0.764123737812042,0.0977665483951569,14525,4,14521,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16732.8903808594,9338.67655726781,9340.71282957722,,,,,0.517598927021027,0.186063095927238,,,,,,,,,,,,
E03,,EVA1,12.6730546951294,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,253.461090087891,,,14.6262359619141,10.7231121063232,15120,162,14958,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16767.7127218364,9218.98091433357,9299.86018369963,,,,,13.6691703796387,11.6777820587158,,,,,,,,,,,,
E04,,EVA1,3.79831314086914,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,75.9662628173828,,,4.94274091720581,2.84639191627502,15822,51,15771,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17467.7935431985,8820.5149824106,8848.38827318301,,,,,4.35411834716797,3.29213166236877,,,,,,,,,,,,
E05,,EVA1,2.13787198066711,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,42.757438659668,,,3.09364485740662,1.40303206443787,13770,25,13745,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,15985.00359375,8571.50024098562,8584.95976050774,,,,,2.59391212463379,1.73882114887238,,,,,,,,,,,,
F01,,EVA1,1.61430656909943,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,32.2861328125,,,2.484619140625,0.975942313671112,13127,18,13109,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17252.1259765625,9941.83808654836,9951.86209675788,,,,,2.02532196044922,1.2631858587265,,,,,,,,,,,,
F02,,EVA1,1.60558152198792,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,32.111629486084,,,2.39794039726257,1.01080214977264,15398,21,15377,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,15699.4067150298,9403.54295484175,9412.12933872035,,,,,1.98160421848297,1.28054201602936,,,,,,,,,,,,
F03,,EVA1,6.1996054649353,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,123.992111206055,,,7.67560434341431,4.92712211608887,15031,79,14952,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17083.6320831685,9116.25902739025,9158.13398390719,,,,,6.92229652404785,5.52933692932129,,,,,,,,,,,,
F04,,EVA1,0.0708397179841995,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.41679430007935,,,0.338368952274323,0.00297518214210868,16608,1,16607,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,14492.4189453125,8690.87825578658,8691.22757784157,,,,,0.176327973604202,0.019197141751647,,,,,,,,,,,,
F05,,EVA1,0.111308060586452,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.22616124153137,,,0.531702280044556,0.00467472663149238,10570,1,10569,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,14056.68359375,8607.66629721022,8608.18181445686,,,,,0.277065306901932,0.0301634445786476,,,,,,,,,,,,
G01,,EVA1,2.79822039604187,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,55.9644088745117,,,3.90725326538086,1.92247438430786,13049,31,13018,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17612.1547064012,9994.20760745038,10012.3052670463,,,,,3.33054518699646,2.32602787017822,,,,,,,,,,,,
G02,,EVA1,0.460278004407883,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,9.20555973052979,,,0.941000461578369,0.180254086852074,15339,6,15333,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,15332.6712239583,9341.46468974699,9343.80820882943,,,,,0.676670908927917,0.295861393213272,,,,,,,,,,,,
G03,,EVA1,15.8555355072021,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,317.110717773438,,,18.0175266265869,13.6975088119507,15463,207,15256,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16157.8974892437,9456.84706958277,9546.55265303159,,,,,16.9580974578857,14.7540063858032,,,,,,,,,,,,
G04,,EVA1,1.40571296215057,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,28.1142597198486,,,2.14023685455322,0.862390756607056,15911,19,15892,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16824.3133223684,8742.14566149881,8751.79692072556,,,,,1.75318276882172,1.10756146907806,,,,,,,,,,,,
G05,,EVA1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.252639889717102,0,13953,0,13953,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,0,8777.22640733344,8777.22640733343,,,,,0.115435190498829,0,,,,,,,,,,,,
H01,,EVA1,1.08993017673492,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21.7986030578613,,,1.92048072814941,0.542550027370453,10799,10,10789,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16069.6161132813,9432.02713565683,9438.17362049582,,,,,1.47328066825867,0.779742300510406,,,,,,,,,,,,
H02,,EVA1,0.0792689844965935,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.58537971973419,,,0.378636837005615,0.00332918972708285,14842,1,14841,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17154.810546875,9246.92492892104,9247.45773350381,,,,,0.197310388088226,0.021481366828084,,,,,,,,,,,,
H03,,EVA1,13.6785249710083,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,273.570495605469,,,15.8201484680176,11.54079246521,13582,157,13425,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16214.4818309614,9566.94188369268,9643.78356913824,,,,,14.7707023620605,12.5873603820801,,,,,,,,,,,,
H04,,EVA1,2.89771246910095,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,57.9542503356934,,,3.89479827880859,2.08773517608643,16260,40,16220,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16938.473046875,8716.38239354746,8736.6089388201,,,,,3.37927889823914,2.46433997154236,,,,,,,,,,,,
H05,,EVA1,No Call,CHECK,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
