site,hzn,rep,bulk_agg,sixteenS_conc_adj,sixteenS_copies_per_g,nirk_copies_per_ul,nirk_copies_per_ul_min,nirk_copies_per_ul_max,mass_extract_dry_g,nirk_copies_per_g,nirk_copies_per_g_min,nirk_copies_per_g_max,nirs_copies_per_ul,nirs_copies_per_ul_min,nirs_copies_per_ul_max,nirs_copies_per_g,nirs_copies_per_g_min,nirs_copies_per_g_max,mcra_copies_per_ul,mcra_copies_per_ul_min,mcra_copies_per_ul_max,mcra_copies_per_g,mcra_copies_per_g_min,mcra_copies_per_g_max
T,A,3,IN,2686250,1148430163.9147115,2523.52386474609,2431.89041137695,2615.8767700195303,0.2339062560707431,1078861.2101007125,1039685.9204319203,1118344.081069973,226.42805480957,218.492218017578,234.417755126953,96802.90669142624,93410.16426319814,100218.67694554318,4.13159513473511,3.1051287651062,5.36355066299438,1766.3465715451157,1327.5099252441876,2293.034292067937
T,B,1,B,953750,414594486.21667,281.060119628906,270.913177490234,291.295349121094,0.2300440627426877,122176.64575993929,117765.77680827164,126625.89316504897,26.2546443939209,23.6450481414795,28.8700466156006,11412.876333734217,10278.486590600389,12549.789927807331,8.68142032623291,7.13556146621704,10.2293128967285,3773.8076013478258,3101.8237902529195,4446.675465026168
T,B,1,IN,738750,321134130.2150091,328.7462005615235,318.1327514648435,339.456604003906,0.2300440627426877,142905.75320313202,138292.0939892659,147561.5584061389,31.7599964141846,29.0742111206055,34.4519309997559,13806.049169679836,12638.5401013918,14976.231331078336,2.15171271562576,1.475062966346743,3.017517566680905,935.3480763520184,641.2088835331743,1311.7128652244783
T,B,2,B,433750,181922600.5332565,427.02397155761753,414.14802551269554,440.04248046875,0.2384255714950095,179101.58246870578,173701.17765298678,184561.780730789,47.5246276855469,43.7277412414551,51.3338088989258,19932.689009635713,18340.206114330467,21530.328553705604,5.62290716171265,4.4028639793396,7.05106210708618,2358.349033811729,1846.64084130412,2957.343066380682
T,B,2,IN,613750,267714572.7270954,382.343383789063,370.666412353516,394.137420654297,0.2292553572067399,166776.20468614396,161682.77019553055,171920.70251116023,144.863204956055,138.959060668945,150.797134399414,63188.58007118193,60613.22289783322,65776.92937549409,2.30402565002441,1.52538049221039,3.3116819858551,1005.0040610159725,665.3630740828529,1444.538538250455
T,B,3,B,1371250,610273369.494548,763.561706542969,745.173034667969,782.242309570313,0.22469438591687566,339822.33397920505,331638.4749121597,348136.11669839354,15.663423538208,13.4382781982422,17.8927841186523,6970.990162612515,5980.691570644586,7963.16474291958,3.79831314086914,2.84639191627502,4.94274091720581,1690.4352662706506,1266.7837269988693,2199.761643815323
T,B,3,IN,1183750,526826691.8061412,693.6083984375,677.073791503906,710.378662109375,0.22469438591687566,308689.68782072567,301330.9784047677,316153.2760200672,102.74755859375,97.8903121948242,107.624938964844,45727.69282796449,43565.98042954136,47898.36582951352,4.63194608688354,3.5099310874939,5.97186994552612,2061.4427316386536,1562.0911368886527,2657.7744348874735
T,C,1,B,683750,308393147.351497,854.618530273438,834.493896484375,875.093505859375,0.22171374619445836,385460.32663391024,376383.4722960596,394695.19634197926,10.8810701370239,9.31412410736084,12.4501066207886,4907.711102170654,4200.968260755337,5615.396805333393,2.16370129585266,1.4325076341629,3.10990595817566,975.89857777918,646.1068196044513,1402.6671830478463
T,C,2,B,476250,215772286.07723963,448.340942382813,435.711761474609,461.107147216797,0.22071879973942418,203127.6642098972,197405.8222448658,208911.58694282957,19.0693778991699,16.971981048584,21.1705207824707,8639.670894225048,7689.413438556548,9591.625546833417,1.81908392906189,1.14517509937286,2.71692848205566,824.1635652284541,518.8389483473219,1230.9456581239147
T,C,3,B,326250,149232999.649313,690.235961914063,671.407409667969,709.370788574219,0.21861786653532694,315727.15114870365,307114.61067134456,324479.7874100515,19.4956588745117,17.3377723693848,21.657506942749,8917.687828300783,7930.62920435332,9906.558547102699,2.13787198066711,1.40303206443787,3.09364485740662,977.90359706106,641.7737427746561,1415.0924196795743
